"";"Author";"Comment";"Time";"NumberOfVotes";"Rate.Positive";"Rate.Negative";"Author.Parent";"NumberOfResponses";"LinkToResponses"
"11";"~Andy 58";"Daju w bramu tawariszczom i goleniu, he he ...";"wczoraj†01:43";"Liczba g≥osÛw:1";"100%";"0%";"Andy 58:";"100%";"#mark"
"12";"~JMJ";"Ty, mπdra inaczej nie odpowiedzia≥aú na moje pytanie . odnoúnie tej elektryfikacji. A ty jesteú hrabina herbu fornal czy herbu parobek ?";"wczoraj†00:15";"Liczba g≥osÛw:1";"100%";"0%";"~Ola:";"100%";"#mark"
"13";"adam z bonanzy";"Jesteú g≥upcem. Nigdy nie korzysta≥em z opieki MOPS-u.";"wczoraj†00:07";"Liczba g≥osÛw:0";"0%";"0%";"~pyra:";NA;NA
"14";"tomcio55";"Przecieø te bajeczki o jezusie majπ takπ samπ wartoúÊ historycznπ jak baúnie tysiπca i jednej nocy :))) Zresztπ i tak ca≥oúÊ zosta≥a przeredagowana pod potrzeby nowej religii ktÛrej zapotrzebowanie z≥oøy≥ Rzym.";"30†lip†22:31";"Liczba g≥osÛw:0";"0%";"0%";"~Andrzej:";NA;NA
"15";"~Anka";"Masz dziwnπ sk≥adnie ale i tak pozdrawiam chociaø siÍ z tobπ nie zgadzam.";"30†lip†22:11";"Liczba g≥osÛw:0";"0%";"0%";"~gmk:";NA;NA
"16";"~Bara bara";"Bo niema moøliwoúci by wziπÊ øywego cz≥owieka i go zamÍczyÊ w sadystyczny sposÛb podobn by zadowoiÊ boga i ub≥agaÊ tym u niego otwarcie bram nieba Winicjuszu";"30†lip†20:43";"Liczba g≥osÛw:0";"0%";"0%";"~gmk:";NA;NA
"17";"~Siostra Sadyma";"Masz na myúli ten dom dziecka z Zabrza? A moøe porozmawiamy o tych z IRLANDZKICH KOSCIO£”W";"30†lip†20:41";"Liczba g≥osÛw:0";"0%";"0%";"~Andrzej:";NA;NA
"18";"~gmk";"Nie wysilaj siÍ, nawet obecnie nie ma moøliwoúci technicznych aby wykonaÊ podobne artefakty co wspomniane przeze mnie czyli nie wiadomo co oddzia≥ywa≥o na materia≥ przy zmartwychwstaniu Jezusa Chrystusa!";"30†lip†20:23";"Liczba g≥osÛw:0";"0%";"0%";"~Bara bara:";"odpowiedzi: 1";"/forum/b-szydlo-proponuje-likwidacje-nfz-w-sluzbie-zdrowi,0,1671450,170579072,czytaj.html"
"19";"~pytak";"Koniec?Tylko domy dziecka? A co z pa≥acem Zimonia?Park tam teø ogromny";"30†lip†20:21";"Liczba g≥osÛw:0";"0%";"0%";"~Andrzej:";NA;NA
"20";"~Komuch z onet";"Pan Andrzej to wczorajszy Winicjusz ten sam sposÛb koÒczenia rozmowy gdy nie wie co odpowiedzieÊ. Jesteú øa≥osny wielbicielu zboczonych klerykÛw.";"30†lip†20:18";"Liczba g≥osÛw:1";"100%";"0%";"~Andrzej:";"100%";"#mark"
"21";"~gmk";"A co, zapewne uwaøasz iø mieli úwiadczyÊ jeszcze przed úmierciπ Jezusa Chrystusa?";"30†lip†20:17";"Liczba g≥osÛw:0";"0%";"0%";"~Kiks:";NA;NA
"22";"~pytak";"Moze dlatego ksiÍøa siÍ cieszπ øe w niebie bÍdπ malutkie anio≥ki z rÛøowymi ty≥kami.";"30†lip†20:16";"Liczba g≥osÛw:1";"100%";"0%";"~kaz:";"100%";"#mark"
"23";"~kaz";"zabicie zarodka to barbarzynstwo natomiast produkcja broni szkolenie zolnierzy do zabijania jest jak najbardziej zgodne z prawami natury i w kazdej jednostce nowe czogi blogoslawi wojskowy kapelan aby z boza wola czolgi te strzelaly celnie z tym ze nie do zarodkow tylko takich troche wiekrzych osob.";"30†lip†20:15";"Liczba g≥osÛw:1";"100%";"0%";"~Andrzej:";"100%";"#mark"
"24";"~gmk";"DziÍki za troskÍ ale co tak naprawdÍ jπ powoduje a szczegÛlnie towarzyszπcπ jej niezdrowπ ciekawoúÊ?";"30†lip†20:15";"Liczba g≥osÛw:0";"0%";"0%";"~Anka:";"odpowiedzi: 1";"/forum/b-szydlo-proponuje-likwidacje-nfz-w-sluzbie-zdrowi,0,1671450,170578353,czytaj.html"
"25";"~Bara bara";"A nie przysz≥o do g≥Ûwki øe katolicki przestÍpca zamordowa≥ jakiegoú nieszczÍúnika w/g opisu z iV wieku i zrobi≥ to z chÍci zysku? Sprzeda≥ cudowne relikwie zapewne za duøe pieniπdze. A co z cudownym napletkiem Jezusa ktÛry jest wielbiony i ca≥owany przez babcie katoliczki?";"30†lip†20:14";"Liczba g≥osÛw:1";"100%";"0%";"~gmk:";"100%";"#mark"
"26";"~Andrzej";"Od pewnych ludzi obelgi majπ znaczenie odwrotne. Na mnie czas. ØyczÍ dobrego wieczoru.";"30†lip†20:10";"Liczba g≥osÛw:2";"50%";"50%";"~Komuch z onet:";"50%";"#mark"
"27";"~kaz";"ciekawe jaka odleglosc dzielila koniec jezyka nastolatki od napletka ksiezulka?????? i bylo mu jak w niebie.......";"30†lip†20:09";"Liczba g≥osÛw:1";"100%";"0%";"~pytak:";"100%";"#mark"
"28";"~Komuch z onet";"Nadal nie moøesz daÊ odpowiedzi boisz siÍ przyznajπc grzechu pychy?";"30†lip†20:08";"Liczba g≥osÛw:1";"100%";"0%";"~Andrzej:";"100%";"#mark"
"29";"~Andrzej";"Z ocenπ siebie jako inteligentnego poczekaj trochÍ. Kadzenie sobie jest ≥atwe ...";"30†lip†20:08";"Liczba g≥osÛw:2";"50%";"50%";"~kaz:";"50%";"#mark"
"30";"~gmk";"Masz co najmniej mylne informacje, jeúli nawet nie celowo w swym úwiÍtej ateistycznej g≥upocie wprowadzasz w b≥πd! Pomijajπ juø kwestiÍ metodologii przy badaniu wieku to zadziwiajπco w wszystkich trzech artefaktach zwiπzanych ze úmierciπ Jezusa Chrystusa chodzi o tego samego cz≥owieka a co najmniej z tπ samπ grupπ krwi! Powiem wiÍcej, øe w trakcie jednej z eucharystii dosz≥o do faktycznej zamiany op≥atka w cia≥o i jak zapewne siÍ juø domyúlasz wystÍpuje ta sama grupa krwi co w artefaktach, co ty na to?";"30†lip†20:06";"Liczba g≥osÛw:2";"0%";"100%";"~Bara bara:";"100%";"#mark"
"31";"~Andrzej";"Ty widzisz nagie cia≥o... Ja widzÍ prawdÍ o Bogu i ludziach. Jesteú niewidomy niestety..";"30†lip†20:06";"Liczba g≥osÛw:3";"33%";"66%";"~Komuch z onet:";"66%";"#mark"
"32";"~Andrzej";"Ano latajπ i majπ uznane posady w prawie paÒstwowym . Nikt nie chce narzucaÊ prawa religijnego. Obrana prawa kaødego tworzonego zarodka do øycia , to oczywisty humanizm. Nazywanie tego úredniowieczem to gorzej niø fundamentalizm, straszliwe barbarzyÒstwo.";"30†lip†20:04";"Liczba g≥osÛw:3";"33%";"66%";"~kaz:";"66%";"#mark"
"33";"~Komuch z onet";"Pytanie brzmia≥o Lubisz siÍ obnosiÊ z swym katolicyzmem? Uwidaczniasz publicznie iø jesteú tym lepszym Polakiem bo lubisz patrzeÊ na nagie cia≥o zmaltretowanego øyda?";"30†lip†20:04";"Liczba g≥osÛw:1";"100%";"0%";"~Andrzej:";"100%";"#mark"
"34";"~kaz";"jeszcze nikt inteligentny nie dogadal sie z fanatykiem religijnym. gorzej ze tacy ludzie jak ty chcecie sila narzucic nam swoje urojenia tworzac prawo koscielne. wraca sredniowiecze. swiat komputerow a wiedzmy dalej lataja na miotlach.";"30†lip†20:01";"Liczba g≥osÛw:2";"100%";"0%";"~Andrzej:";"100%";"#mark"
"35";"~Komuch z onet";"Jesteú p≥ytki nie potrafisz odpowiadaÊ na temat.Jesteú zwyk≥e zero";"30†lip†20:00";"Liczba g≥osÛw:2";"100%";"0%";"~Andrzej:";"100%";"#mark"
"36";"~pytak";"O autorze pomys≥u z lizaniem kolan co sπdzisz? Pewno uwaøasz øe postπpi≥ dobrze.";"30†lip†19:59";"Liczba g≥osÛw:2";"100%";"0%";"~Andrzej:";"100%";"#mark"
"37";"~Andrzej";"Czy Ty czytasz poradnik walki z religijnoúciπ na forum? To rozdzia≥ piπty paragraf trzeci?";"30†lip†19:57";"Liczba g≥osÛw:3";"33%";"66%";"~Komuch z onet:";"66%";"#mark"
"38";"~kaz";"brawo. my polacy zadamy przywrocenia naszej slowianskiej religii , ktora nam zakazano 1000 lat temu , narzucajac sila religie zydowska.";"30†lip†19:57";"Liczba g≥osÛw:1";"100%";"0%";"~Komuch z onet:";"100%";"#mark"
"39";"~Andrzej";"LubiÍ jak mÛwi siÍ prawdÍ, a g≥osy nienawiúci konstruujπce przysz≥π dyktaturÍ znajdujπ kontrÍ.";"30†lip†19:56";"Liczba g≥osÛw:2";"50%";"50%";"~Komuch z onet:";"50%";"#mark"
"40";"~Andrzej";"BÛg jest i daje Ziemi czas jaki sami wybraliúmy, a Ty potwierdzasz. Czas bez jego oczywistej Obecnoúci. Jesteúmy z prawami natury i w≥asnymi decyzjami. åmierÊ - przejúcie koÒczy ten czas dualizmu dobra i z≥a. Kaødy tu wybiera w jakiej wiecznoúci chce byÊ. Obrazem Boga jest Jezus. Naszym, jego ukrzyøowanie.";"30†lip†19:54";"Liczba g≥osÛw:3";"33%";"66%";"~kaz:";"66%";"#mark"
"41";"~Komuch z onet";"Lubisz siÍ obnosiÊ z swoim katolicyzmem?";"30†lip†19:52";"Liczba g≥osÛw:1";"100%";"0%";"~Andrzej:";"100%";"#mark"
"42";"~kaz";"sluchaj andrzejku. jezeli zalozymy jako pewnik ze bog istnieje i to on decyduje o wszystkim na ziemi i o losie czlowieka od poczecia do smierci------- to ten twoj bog jest najokrutniejsza istota wszechswiata. bog zalmuje sie tylko mordowaniem ludzi i zsylajac na nich smierc zywioly glod i choroby. ale ty budujesz mu swiatynie myslac ze on cie oszczedzi. nic z tych rzeczy. ten twoj bog zamorduje ciebie i cala twoja rodzine po kolei i w okrutny sposob.";"30†lip†19:50";"Liczba g≥osÛw:2";"100%";"0%";"~Andrzej:";"100%";"#mark"
"43";"~Komuch z onet";"Tysiπce lat daliúmy sobie rade bez twego øyda boga I zapewniam cie ze nie jest nam do niczego potrzebny.Jeúli ty lubisz patrzeÊ na znÍcanie siÍ i úmierÊ to przyjemnej zabawy";"30†lip†19:49";"Liczba g≥osÛw:1";"100%";"0%";"~Andrzej:";"100%";"#mark"
"44";"~Andrzej";"S≥owa i nick úwiadczπ o autorze. ZmieÒ siÍ zanim umrzesz.";"30†lip†19:47";"Liczba g≥osÛw:4";"25%";"75%";"~Smietana na kolanach:";"75%";"#mark"
"45";"~Andrzej";"Mnie bardzo interesuje ta dzika furia z powodu publicznego wyraøania úwiadomoúci istnienia Boga i sensu. Czego Ty cz≥owieku chcesz? ZamieniÊ PolskÍ w trupa ludzi bez nadziei siÍgajπcej wiecznoúci? Po co?";"30†lip†19:45";"Liczba g≥osÛw:2";"50%";"50%";"~Komuch z onet:";"50%";"#mark"
"46";"~Smietana na kolanach";"Wiec powiedzia≥eú i wypad do koscio≥a na spowiedz";"30†lip†19:45";"Liczba g≥osÛw:1";"100%";"0%";"~Andrzej:";"100%";"#mark"
"47";"~Komuch z onet";"A co w koúciele juø dyskutowaÊ z tobπ nie chcπ i draønisz tu ateistÛw z≥oúliwy z ciebie cz≥owiek. Pewno w domu  znÍcasz siÍ nad zwierzÍtami?";"30†lip†19:43";"Liczba g≥osÛw:1";"100%";"0%";"~Andrzej:";"100%";"#mark"
"48";"~Andrzej";":))) By≥oby úmieszne, gdyby nie smutne. BÛg jest i ja to wiem. Pan teø siÍ dowie.";"30†lip†19:43";"Liczba g≥osÛw:3";"33%";"66%";"~kaz:";"66%";"#mark"
"49";"~kaz";"panie andrzeju byc moze zyje sie panu lepiej wierzac w istnienie boga niech pan sobie wierzy w co chce. chce jednak pana poinformowac ze zadnego boga nie ma. kazdy kto twierdzi ze bog istnieje jest klamca a kazdy kto w to wierzy jest glupcem. cale swoje zycie przezyje pan w glupocie.";"30†lip†19:41";"Liczba g≥osÛw:2";"100%";"0%";"~Andrzej:";"100%";"#mark"
"50";"~:)";"No wyliczaj dalej.Szpitale uczelnie klasztory hektary parkÛw. A moze eks-Biskup ZimoÒ uøyczy swej posiad≥oúci.Miejsca tam znacznie wiÍcej niø na stadionie.";"30†lip†19:41";"Liczba g≥osÛw:0";"0%";"0%";"~Andrzej:";NA;NA
"51";"~Andrzej";"Marzy Ci siÍ totalitaryzm? Na forum tylko to co Ci siÍ podoba? Rozumiesz pojÍcie forum dyskusyjne?";"30†lip†19:40";"Liczba g≥osÛw:2";"50%";"50%";"~Komuch z onetu:";"50%";"#mark"
"52";"~Komuch z onetu";"A w koúciele nie moøesz tego robiÊ moøe ty jesteú åJ??????????";"30†lip†19:38";"Liczba g≥osÛw:1";"100%";"0%";"~Andrzej:";"100%";"#mark"
"53";"~Andrzej";"Nie jestem agresywny, ale jasno przedstawiam swoje poglπdy.";"30†lip†19:38";"Liczba g≥osÛw:3";"33%";"66%";"~Anka:";"66%";"#mark"
"54";"~Bara bara";"No masz, ciemniak to KATOLIK ktÛry z nie wiadomo jakiego powodu ale uwaøa siÍ za oúwieconego Kaødy katolik wojujπcy taki jak ty uwaøa siÍ za wyroczniÍ, no kolejny cud wszechúwiata a resztÍ a szczegÛlnie tych, ktÛrzy majπ inne zdanie uwaøa za g≥upcÛw! Tylko wspÛ≥czuÊ ci Êwoku, bo nawet nie wiesz o czym bredzisz i w imiÍ kogo w rzeczywistoúci walczysz";"30†lip†19:37";"Liczba g≥osÛw:1";"100%";"0%";"~gmk:";"100%";"#mark"
"55";"~Anka";"A w rodzinie wszyscy zdrowi? czy tylko z tobπ coú nie tak.";"30†lip†19:37";"Liczba g≥osÛw:2";"100%";"0%";"~gmk:";"100%";"#mark"
"56";"~Anka";"Powo≥ujesz siÍ na wiarÍ i kulturÍ to dlaczego w komentarzach jesteú taki agresywny.I to twoje pouczanie. Daj sobie spokÛj.CieszÍ siÍ øe nie naleøÍ do tych 95 % prawych i uczciwych obywateli.";"30†lip†19:35";"Liczba g≥osÛw:2";"100%";"0%";"~Andrzej:";"100%";"#mark"
"57";"~Andrzej";"Posiad≥oúci ? Masz na myúli domy dziecka?";"30†lip†19:31";"Liczba g≥osÛw:2";"50%";"50%";"~Pytak:";"50%";"#mark"
"58";"~Andrzej";"Rozumiem, øe Ty nie jesteú katoliczkπ i proszÍ ... jak kultura :( PrzestaÒ nienawidziÊ ludzi z powodu ich wiary i zrozum, øe nie jesteú wyroczniπ, wiÍc nie wiesz czy BÛg jest czy go nie ma. Ktoú, kto uøywa rozumu, wie, øe nie wie. ZmieÒ siÍ zanim umrzesz.";"30†lip†19:29";"Liczba g≥osÛw:3";"33%";"66%";"~Anka:";"66%";"#mark"
"59";"~Pytak";"Drogi ten stadion.A nie mÛg≥ koúciÛ≥ek za darmo udostÍpniÊ ktÛrπú z swych licznych posiad≥oúci na tÍ imprezÍ?";"30†lip†19:27";"Liczba g≥osÛw:1";"100%";"0%";"~Andrzej:";"100%";"#mark"
"60";"~Bara bara";"Taaaaaaaaaaaaaaaaaa Ca≥un TuryÒski powiadasz ?Ten z 12 wieku? Nawet Watykan nie uwaøa go za prawdziwy. A powrotu Jezusa nie bÍdzie stawiam zak≥ad tonÍ z≥ota do tony øo≥Ídzi. A tak po prawdzie jesteú øydem tak jak ten porywajπcy?";"30†lip†19:26";"Liczba g≥osÛw:3";"66%";"33%";"~gmk:";"66%";"#mark"
"61";"~Anka";"Te g≥upoty zostaw dla siebie. Pieprzysz jak nawiedzony.Tacy wszyscy úwieci tylko dlaczego wszyscy obrzucajπ siebie b≥otem oszukujπ, kradnπ. 95% PolakÛw to katolicy.";"30†lip†19:25";"Liczba g≥osÛw:2";"100%";"0%";"~Andrzej:";"100%";"#mark"
"62";"~Andrzej";"Pytanie jest inne... Co Ty robisz na wymar≥ym forum ze swojπ chÍciπ zdeptania chrzeúcijaÒstwa? Ale odpowiem Ci na Twoje. Mam obowiπzek mÛwiÊ o czym wiem. BÛg jest i mÛwi do nas o sobie , mi≥oúci bliüniego i úwiecie przez Jezusa. Szanujπc wolnoúÊ kaødego, daje szansÍ zrozumienia i zbliøenia siÍ do Siebie, zanim czas siÍ skoÒczy. Czas poznania dobra i z≥a przez naszπ cywilizacjÍ.  Ja wybieram Boga. Ty siÍ zastanÛw czy nie wybierasz 666. .";"30†lip†19:21";"Liczba g≥osÛw:2";"50%";"50%";"~kaz:";"50%";"#mark"
"63";"~kaz";"ci z trocinami w glowie to wiekrzosc i wygraja wybory. inteligentni beda musieli sie ukrywac.";"30†lip†19:17";"Liczba g≥osÛw:1";"100%";"0%";"~Ola:";"100%";"#mark"
"64";"~Ola";"To jak siÍ sta≥o øe taki mπdrala siÍ wyklu≥ z zamoønych i wykszta≥conych rodzicÛw.. Wyglπdasz mi na przedstawiciela do≥Ûw spo≥eczny. I tyle.";"30†lip†19:15";"Liczba g≥osÛw:0";"0%";"0%";"~JMJ:";"odpowiedzi: 3";"/forum/b-szydlo-proponuje-likwidacje-nfz-w-sluzbie-zdrowi,0,1671450,170573903,czytaj.html"
"65";"~kaz";"andrzej co ty kurcze za kit wciskasz Polakom o przygodach kilku zydow 2 tys lat temu????? moze jeszcze ali baba, kon tiki i winetu?????";"30†lip†19:14";"Liczba g≥osÛw:1";"100%";"0%";"~Andrzej:";"100%";"#mark"
"66";"~kata strofa";"Szyd≥o proponuje - ha, ha ,ha ..";"30†lip†19:14";"Liczba g≥osÛw:0";"0%";"0%";"~krono:";NA;NA
"67";"~Ola";"Czy ty jesteú chory . Gdzie w latach 60 dosta≥eú piwo, zw≥aszcza na PGR. Chleb jak dowieüli to by≥o dobrze.Porozmawiaj z babcia jak jej by≥o dobrze.W miastach by≥y problemy z zaopatrzeniem a co dopiero w PGR i to w latach 60 tych.";"30†lip†19:13";"Liczba g≥osÛw:1";"0%";"100%";"~JMJ:";"100%";"#mark"
"68";"~wiem wszystko";"A nie nie, tego to ja ci nie powiem (choÊ wiem).";"30†lip†19:12";"Liczba g≥osÛw:0";"0%";"0%";"~lop:";NA;NA
"69";"~Ola";"A do koúcio≥ka chodzisz? £adnie tak rzucaÊ epitetami na starszπ osobÍ. Mamusia gdzie by≥a jak by≥eú malutki.Albo jesteú porzπdnie úwirniÍty.Amen.";"30†lip†19:06";"Liczba g≥osÛw:1";"0%";"100%";"~mordotymoja:";"100%";"#mark"
"70";"~Ola";"NastÍpny z trocinami zamiast mÛzgu.Na burakÛw szkoda czasu.";"30†lip†19:02";"Liczba g≥osÛw:0";"0%";"0%";"~brzdÍk:";"odpowiedzi: 1";"/forum/b-szydlo-proponuje-likwidacje-nfz-w-sluzbie-zdrowi,0,1671450,170573161,czytaj.html"
"71";"~Ola";"Zacznij siÍ cz≥owieku leczyÊ.To nie Rosja coú ci siÍ pomyli≥o.";"30†lip†19:00";"Liczba g≥osÛw:0";"0%";"0%";"~one way:";NA;NA
"72";"~Andrzej";"Ci o ktÛrych mÛwiπ zapisy. Aposto≥owie Jezusa. Listy Paw≥a pochodzπ nawet z 60 roku po Chrystusie. Øycie Aposto≥Ûw , to øycie úwiadkÛw. Z wystraszonych ludzi zmartwychwstanie zrobi≥o úwiadkÛw. Chcesz na si≥Í wierzyÊ w teorie o mitologizacji zmartwychwstania? Masz prawo. Bo ciπgle jest czas prÛby i wyboru. ""Na samym poczπtku przekaza≥em wam to, co sam przyjπ≥em, mianowicie øe Chrystus umar≥ za nasze grzechy ñ zgodnie z zapowiedziami Pisma, 4 øe zosta≥ pogrzebany, øe trzeciego dnia zmartwychwsta≥ ñ rÛwnieø zgodnie z Pismem, 5 i øe ukaza≥ siÍ Piotrowi, a nastÍpnie pozosta≥ym Dwunastu. 6 PÛüniej widzia≥o Go rÛwnoczeúnie piÍciuset wierzπcych, z ktÛrych wiÍkszoúÊ jeszcze øyje ñ niektÛrzy jednak juø zmarli. 7 Potem Jezus ukaza≥ siÍ Jakubowi i wszystkim innym aposto≥om. 8 Na samym koÒcu, jakby najmniej godnemu, ukaza≥ siÍ takøe mnie. 9 Jestem bowiem najmniejszym z aposto≥Ûw i nie powinienem nawet uøywaÊ tego tytu≥u, gdyø przeúladowa≥em koúciÛ≥ Boga""";"30†lip†18:51";"Liczba g≥osÛw:2";"50%";"50%";"~Kiks:";"50%";"#mark"
"73";"~ad";"Huta i papiernia zosta≥y kupione przez FrancuzÛw i zamkniete,cukrownia teø,Stocznia zbankrutowa≥a bo ratowa≥a gdaÒska,by≥a nawet sprawa sadowa przeciwko dyrekcji.";"30†lip†18:29";"Liczba g≥osÛw:0";"0%";"0%";"~Ola:";NA;NA
"74";"~Anka";"Widocznie twoi rodzice naleøeli do partii i korzystali z przywilejÛw. Nauka dla doros≥ych nigdy nie by≥a nakazem. Nic nie musieli. Naopowiadali ci same brednie.Te wszystkie strajki to widocznie wymys≥ mediÛw.A tak nawiasem na pewno jesteú ze szlachty jak 95 % nastÍpcÛw ch≥opÛw paÒszczyünianych.To øe rolnicy nie mieli opieki zdrowotnej i emerytur to tez k≥amstwa?MiÍso- jakie miÍso. Jak nie ukrad≥ to nie mia≥. Mleko owszem by≥o. Paczki to skπd,od úw. Miko≥aja. A ten syf w miastach i na wsi to z dobrobytu.?";"30†lip†17:05";"Liczba g≥osÛw:1";"0%";"100%";"~kot:";"100%";"#mark"
"75";"~xxx-xx";"Øadna hrabina tylko chory cz≥owiek. Po tonie odpowiedzi widzÍ, øe dalszy dialog nie ma sensu dlatego pozdrawiam i proszÍ do mnie juø nie pisaÊ.";"30†lip†16:56";"Liczba g≥osÛw:1";"100%";"0%";"~oww:";"100%";"#mark"
"76";"~pielgrzymkowy weteran";"Marsz,úpiew i seks co noc z innπ.";"30†lip†16:03";"Liczba g≥osÛw:0";"0%";"0%";"~marcus meridus:";NA;NA
"77";"~J.B.";"To nie lekarze sa winni tylko ekipa rzadzaca do czego doprowadzila sluzbe zdrowia i nie tylko-wszystko co wziela w swoje rece wywrocila do gory dnem -mamy to co mamy-mamy dobra okazje to zmienic,bo inaczej nie bedziemy istniec .Tak mamy madrych rzadzacych,ze wysprzedaja co sie da ,a nikt nie mysli co bedzie dalej z Polska i Polakami.Mamy wszstkie dobra naturalne i nie tylko ,madrych wyksztalconych ludzi -tylko nie mamy dobrego gospodarza.";"30†lip†15:21";"Liczba g≥osÛw:1";"100%";"0%";"~Ola:";"100%";"#mark"
"78";"~J.B.";"Wlasnie w PO to sie dzieje -tasmy to pokazaly gdzie PO ma Polakow i Polske.Gigantyczne zadliuzenie ,rosnie dziennie o 294 miliony -tak w zyciu nie bylo ,afera stoczniowa,hazaedowa ,dodrukowanie pieniedzy ,dla PO,zeby wygrala wybory,likwidacja majatku narodowego,niszczenie zakladow ,spolek skarbu panstwa i dbanie o wlasne korytka to jest PO I PSL.Takiego balaganu to za rzadnego rzadu nie bylo jak jest teraz-wolna amerykanka.";"30†lip†15:15";"Liczba g≥osÛw:0";"0%";"0%";"~klecha:";NA;NA
"79";"~goúÊ";"oj glupiutka asiu!!!! wypowiedü samego lecha kaczyÒskiego z 18 09 2001 roku : ""Chcemy s≥uøby zdrowia zapewniajπcej obywatelom ochronÍ zdrowia i wiemy, øe moøna to zrobiÊ poprzez ustawowe okreúlenie zakresu úwiadczeÒ zdrowotnych finansowanych ze úrodkÛw publicznych, likwidacjÍ kas chorych, finansowanie budøetowe opieki zdrowotnej przy zachowaniu zasad systemu kontraktowego oraz ustalenie sieci szpitali publicznych w Polsce"" i jeszcze ""kwiatek"" ze strony pis..... ""Prawo i SprawiedliwoúÊ oceni≥o, øe zapowiedü likwidacji kas chorych to krok w dobrym kierunku"" tan na marginesie: minister ≥apicki czÍsto rozmawia≥ z pisowskim ministrem piechπ , zarÛwno lech laczyÒski w swojej agitce wyborczej , jak i pis ustami dorna i ministra zdrowia w rzπdzie pis opowiada≥ siÍ za likwidacjπ kas chorych i sld je zlikwidowa≥o z poparciem pisu! co ciekawe jedynie po by≥a przeciw i wystosowa≥a wotum w stosunku do ministra zdrowia!!!! dixi!";"30†lip†14:33";"Liczba g≥osÛw:1";"0%";"100%";"~asia:";"100%";"#mark"
"80";"~pacjent";"EMERYCI R”WNIEØ P£AC• SK£ADKE I PODATEK R”WNIEØ , NIE WIESZ , TO NIE PISZ GLUPOT";"30†lip†13:46";"Liczba g≥osÛw:1";"100%";"0%";"~kaz:";"100%";"#mark"
"81";"~tak";"øle ci siÍ wydaje";"30†lip†13:45";"Liczba g≥osÛw:1";"100%";"0%";"~kaz:";"100%";"#mark"
