"";"Author";"Comment";"Time";"NumberOfVotes";"Rate.Positive";"Rate.Negative";"Author.Parent";"NumberOfResponses";"LinkToResponses"
"11";"~nikt :";"Oczywiscie, nie ma regu≥y - jedni maja rodzicow m≥odszych inni starszych, jedni maja si≥y, mi≥oúÊ i cierpliwosc inni ich nie maja niezaleznie od wieku. Ja mam to nieszczescie byc zonπ kogos, kto byl w≥asnie takim pÛznym dzieckiem. I s≥owa ktore tu pad≥y sa bardzo prawdziwe. Rodzice z uwagi na swoj wiek wychowali go na swojego opiekuna.Maz zawsze bardzo przezywal swoje dziecinstwo - a wlasciwie jego brak, bo nie mia≥ ani beztroski, ani wsparcia, nigdy nie mogl isc pograc z chlopakami w pi≥ke, bo trzeba sie zajac matkπ (ktora wcale nie jest schorowana a ma juz ponad 85 lat, ale zawsze utrzymywa≥a go przy sobie stosujac metode zrob to i tamto bo jak nie to za chwile umre) . Inne dzieci zawsze sie z niego úmialy ze ma babcie i dziadka a nie rodzicow, a prawdziwych dziadkow niestety nawet nie pozna≥. Majac 12 lat musial zaczac dorabiac (na czarno w warsztacie) . Ale to tylko jedna strona - najgorsze jest to ze on ten egoizm i brak wsparcia rodzicow przenosci na swoja (nasza) rodzine i dzieci - co powoduje ze nie akceptuje zwyklego rozwoju dzieci, ich zainteresowan , spotkan z rowiesnikami, wiecznie ma do nich o wszystko co robiπ pretensje, a im sa starsze tym gorzej. Nie ma potrzeby wymagac od nich tego czego wymagali od niego jego rodzice - maja czas wolny, znajomych a nie muszπ byc opiekunami - a przez to jego frustracja tylko sie pog≥ebia, bo on tak nie mogl. Ja juz nie mam si≥y zeby mu wszsytko t≥umaczyc, uczyc normalnosci - tego sie nie da. Tak wiec wszsytkim decydujacym sie pozno na macierzynstwo czy ojcostwo - powiedzialabym, zeby sie porzadnie zastanowili , bo byc moze dla nich to jest fajne , ale juz nie dla tych wlasnie dzieci, bo jak tutaj czytam wiekszosc z tych wlasnie dzieci tez ma zal ze mieli ich przy sobie tak krotko....Myslcie nie tylko o sobie ..... i tak jak ktos juz tu napisal nie nakladajcie z zalozenia ""psiego"" obowiazku na nastolatki... POzdrawiam wszsytkich i zycze rozsadku.....";"30†sty†07:41";"Liczba g≥osÛw:4";"50%";"50%";NA;"50%";"#mark"
"12";"~Bogdan :";"Obserwacje pokazujπ, øe bardzo czÍsto dzieci starszych rodzicÛw sπ bardziej spokojne, inteligentne itd., a im m≥odszy rodzic tym dzieci bardziej roztrzepane, nadpobudliwe, z mniejszπ zdolnoúciπ intelektualnπ. PrÛbowano do tego dorabiaÊ wiele interpretacji - biologicznπ, øe jakieú mechanizmy biologiczne to sprawiajπ, pedagogicznπ, øe starsi rodzice sπ bardziej doúwiadczeni, wiÍc lepiej wychowujπ dzieci. Ale to chyba tylko luüna korelacja, po prostu ludzie bardziej stateczni i spokojni czÍsto pÛüniej zak≥adajπ rodzine, a rozbrykani zachodzπ w ciπøe juø w liceum... i potem dzieci takie same.";"30†sty†06:58";"Liczba g≥osÛw:5";"80%";"20%";NA;"80%";"#mark"
"13";"~sruuu";"to wielka wygoda - celebrytÛw na to staÊ, moøe to z duuuuøej probÛwy?....";"30†sty†06:54";"Liczba g≥osÛw:0";"0%";"0%";"~stiepa:";NA;NA
"14";"~Sztuka :";"Nie sztukπ jest sp≥odziÊ pierwsze dziecko po 40, sztukπ jest sp≥odziÊ ostatnie dziecko po 70-tce. Korwin Mikke";"30†sty†06:53";"Liczba g≥osÛw:2";"100%";"0%";NA;"100%";"#mark"
"15";"~luk :";"Hale wypie≥a siÍ jakby chcia≥a drugie.";"30†sty†06:47";"Liczba g≥osÛw:1";"0%";"100%";NA;"100%";"#mark"
"16";"~sruuuu :";"""Lepiej pÛüno niø pÛüniej"", jeúli do tej pory nie wysz≥o to dobrze ze majπ dzieci po 40 i 50-tce, a ja majπc 43l - jak mama Koøuchowska - mia≥am juø dzieci w wieku 20 i 18 lat - majπc 52 zosta≥am przeszczÍúliwπ babciπ (mam si≥Í, øeby sie wnuczkπ od czasu do czasu sensownie zajπÊ), jak bÍdÍ mia≥a 63, moja wnuczka! bÍdzie mia≥a 21i juø z niπ pogadaÊ bedzie moøna, a dziecko! Koøuchowskiej 20... i jeszcze ""kawa≥ek"" do doros≥oúci - a moøe bÍdÍ mia≥a okazjÍ poznaÊ i prawnuki, o ile mi alzheimer w tym nie przeszkodzi... w kaødym razie: zostaÊ rodzicem moøna i po 70-tce (tylko po co???!!!), ale opieka nad dzieckiem to jest ""zajÍcie"" na wiele lat i warto byÊ rodzicem w pe≥ni formy uczestniczπcym (na miarÍ jego potrzeb) w øyciu m≥odego cz≥owieka -- i nie piszcie, ze majπc 63 lata ""daje siÍ radÍ"" z 20-to, czy nastolatkiem tak samo jak w wieku lat 43 - szczegÛlnie teraz, gdy postÍp techniczny pozostawia ludzi starszych szybko w tyle, a tu (np. internet - nadchodzi ""nowsze""!!!) nie wszystko jest dla dzieciakÛw bezpieczne - i mama-babcia ani tatuú-dziadek nie ogarniajπ...";"30†sty†06:41";"Liczba g≥osÛw:2";"50%";"50%";NA;"50%";"#mark"
"17";"~jogi :";"patologia w polskim wydaniu, Ruhaac sie chce na starosc";"30†sty†06:39";"Liczba g≥osÛw:8";"25%";"75%";NA;"75%";"#mark"
"18";"~USA :";"Ryszard Kalisz W wieku 56 lat Ry≠szard Ka≠lisz zo≠sta≥ po raz pierw≠szy ojcem. Ch≥o≠piec otrzy≠ma≥ piÍk≠ne imiÍ Igna≠cy. PASOWALO BY SYNKOWI IMIE..........MOSIEK, ICEK...........HIPOPOTAM BYL TRZEZWY A MOZE OLEK ????????????..................KOLEGI IMIE PIJAKA-KOSZERNEGO KWASNIEWSKIEGO.";"30†sty†05:21";"Liczba g≥osÛw:2";"50%";"50%";NA;"50%";"#mark"
"19";"~stiepa :";"najlepsza jest ta corka co sie urodzila w wieku 5 lat... gratuluje profeski";"30†sty†05:21";"Liczba g≥osÛw:3";"100%";"0%";NA;"100%";"#mark"
"20";"~true :";"Skrzynecka ma dziecko z probÛwki";"30†sty†04:51";"Liczba g≥osÛw:7";"28%";"71%";NA;"71%";"#mark"
"21";"~USA :";"Oko≥o 2 lata temu Ryszard Kalisz zosta≥ po raz pierwszy ojcem. Nic w tym dziwnego by nie by≥o, gdyby nie fakt, øe polityk mia≥ wtedy 56 lat. NIE MIAL CZASU ZOSTAC OJCEM, BO KOSZERNY OBRZEZANIEC 56 LAT TYLKO CHLAL I ZARL Z KOLEGA KOSZERNYM OBRZEZANCEM KWASNIEWSKIM.............ZARAZ CENZURA ONET SKASUJE";"30†sty†04:12";"Liczba g≥osÛw:7";"57%";"42%";NA;"57%";"#mark"
"22";"~USA :";"PIEKNE KOBIETY W OTOCZENIU KOSZERNEGO OBRZEZANCA KALISZA.............HIPOPOTAMA. BIEDNE DZIECKO, I TAK NIE KALISZA TYLKO LISTONISZA LUB KOMINIARZA. HIPOPOTAM,,,,,,,,,,,,,,ZROB SYNKOWI DNA TEST.";"30†sty†03:53";"Liczba g≥osÛw:5";"60%";"40%";NA;"60%";"#mark"
"23";"~frantz maurer :";"Pograj w pi≥kÍ z 50 letnim ojcem - skrajny egoizm, øadnego dzieciÒstwa...";"30†sty†03:21";"Liczba g≥osÛw:8";"50%";"50%";NA;"50%";"#mark"
"24";"~t. :";"Ja bym chcia≥a tak jak u UrbaÒskiego, øe na úwiat przychodzi 5-letnie dziecko:)";"30†sty†01:54";"Liczba g≥osÛw:3";"66%";"33%";NA;"66%";"#mark"
"25";"~O(na";"Bywa ze ojciec m≥ody i teø za rowerkiem nie biegnie. Woli posiedziec z koleøkami przy piwie";"30†sty†01:27";"Liczba g≥osÛw:1";"100%";"0%";"~mela:";"100%";"#mark"
"26";"~masakra";"Zgadza sie";"30†sty†00:27";"Liczba g≥osÛw:1";"100%";"0%";"~brak slow:";"100%";"#mark"
"27";"~kapsel";"u mnie Paris Hilton bo jest podobna do mojej by≥ej ktÛra mnie wyj...... z kasy ale ze skrzyneckπ to ho ho przypudrowal by≥ noska ale by by≥ sex oooooooo";"30†sty†00:26";"Liczba g≥osÛw:1";"0%";"100%";"~misiek:";"100%";"#mark"
"28";"~barabasz :";"WidaÊ , øe Rysiu to fan pi≥ki rÍcznej ,fachowo trzyma g≥owÍ.";"30†sty†00:16";"Liczba g≥osÛw:6";"83%";"16%";NA;"83%";"#mark"
"29";"~mela";"teø to zauwaøy≥am:)";"30†sty†00:16";"Liczba g≥osÛw:0";"0%";"0%";"~Kami:";NA;NA
"30";"~rozsadek :";"Jest to dojrza≥e macierzyÒstwo, jedyny minus to ... zbyt m≥odo rodzice nas zostawiajπ i odchodzπ";"30†sty†00:16";"Liczba g≥osÛw:3";"100%";"0%";NA;"100%";"#mark"
"31";"~janusz69 :";"Mo≠ni≠ka Bel≠luc≠ci coú piÍknego";"30†sty†00:04";"Liczba g≥osÛw:4";"100%";"0%";NA;"100%";"#mark"
"32";"~mela";"mas≥o maúlane";"30†sty†00:03";"Liczba g≥osÛw:0";"0%";"0%";"~skrajna:";NA;NA
"33";"~Rufla :";"Moøna siÍ pÛüniej natknπÊ na opiniÍ : ale malutka podobna do babci .... TrochÍ kiepskie";"30†sty†00:02";"Liczba g≥osÛw:7";"42%";"57%";NA;"57%";"#mark"
"34";"~Kami :";"Ma≥a Go≥Íbiewska jest wiernπ kopiπ swojego taty . Super";"29†sty†23:58";"Liczba g≥osÛw:2";"100%";"0%";NA;"100%";"#mark"
"35";"~goúÊ :";"Kiedy w koÒcu onet zrozumie, øe øyjemy w czasach w ktÛrych kobiety majπ i rodzπ dzieci, kiedy mogπ i kiedy chcπ. Jedni majπc lat 15 (zazwyczaj z wpadki) inni majπc lat 40+, 50+ czy jak ostatnio pisa≥ onet 70+. Ani to wydarzenie ani sensacja. Temat nudny i oklepany :(";"29†sty†23:54";"Liczba g≥osÛw:4";"100%";"0%";NA;"100%";"#mark"
"36";"~mela";"cÛø to za ojciec?... to ojciec nie biegnπcy za swoim dzieckiem ktÛre jedzie na rowerku.... faktycznie obrzydliwe!";"29†sty†23:52";"Liczba g≥osÛw:2";"0%";"100%";"~opa:";"100%";"#mark"
"37";"~skrajna";"Przekonanie musialby miec poparcie w 100% statystyce. Maslenie jest stosowne. Umiec myslec to ogromny dar natury.";"29†sty†23:51";"Liczba g≥osÛw:0";"0%";"0%";"~mela:";"odpowiedzi: 1";"/forum/pierwsze-dziecko-w-wieku-40-lat-i-wiecej,0,1059276,154317911,czytaj.html"
"38";"~opa :";"Ryszard Barba Papa.Co to za ojciec co nie pobiegnie za swoim dzieckiem na rowerku.RÛwnieø nie mogÍ sobie wyobraziÊ JKM w takiej roli.WspÛ≥czujÍ rodzicom i dziadkom cÛrek,ktÛre urodzi≥y od razu wnuki,a nawet prawnuki.ObrzydliwoúÊ.Tym goúciom polecam gumowe lale z sexshopu.";"29†sty†23:44";"Liczba g≥osÛw:6";"50%";"50%";NA;"50%";"#mark"
"39";"~barabasz :";"Ojcowie bierzcie przyk≥ad z Rysia Kalisza ,widaÊ øe ojcostwo lepiej mu wychodzi niø polityka. A dzieciak musia≥ coú przeskrobaÊ bo ma zamazane oczy. Rysiu nastÍpnym razem popraw Jasia bo inaczej bÍdzie mia≥ krzywy krÍgos≥up.";"29†sty†23:36";"Liczba g≥osÛw:5";"100%";"0%";NA;"100%";"#mark"
"40";"~20-tka :";"40-50 letni rodzice nowonarodzonych dzieci niestety beda krocej cieszyc sie swoimi pociechami niz mlodzi rodzice.wszystko powinno sie odbywac w swoim czasie.Babcia mama?Ale takie zycie,niekiedy lepiej pozno niz wcale .";"29†sty†23:33";"Liczba g≥osÛw:5";"60%";"40%";NA;"60%";"#mark"
"41";"~mela";"to dobrze, øe tylko myúlisz iø majπ lepiej a nie jesteú przekonana bo mog≥abym pomyúleÊ, øe jesteú dziwna.";"29†sty†23:27";"Liczba g≥osÛw:0";"0%";"0%";"~skrajna:";"odpowiedzi: 2";"/forum/pierwsze-dziecko-w-wieku-40-lat-i-wiecej,0,1059276,154316382,czytaj.html"
"42";"~citizen";"potwierdzam, a komu siÍ to nie podoba to ... na drzewo!";"29†sty†23:24";"Liczba g≥osÛw:1";"100%";"0%";"~...:";"100%";"#mark"
"43";"inya.la.magica :";"Ich sprawa czy i kiedy decydujπ siÍ na dziec i, nic nikomu do tego.";"29†sty†23:19";"Liczba g≥osÛw:5";"100%";"0%";NA;"100%";"#mark"
"44";"~Carmen";"Ciekawe ile Ty masz lat? Masz racjÍ. Ucz siÍ do 35 lat, bo magister, bo pomagisterskie, bo doktorat,itd. Potem praca, najpierw staø, potem prÛbny, a jak siÍ uda to na sta≥e. Marzenia... Ile m≥odych osÛb je zrealizowa≥o? Albo ≥ut szczÍúcia, albo rodzice z zasobnym portfelem. A kiedy czas na dzieci? Po drodze jeszcze kredyt na mieszkanie( byle nie frankowy). Sπdzisz, øe zdrowie po 40 roku øycia kaøda kobieta ma takie jak wczeúniej? Bo dzisiaj trzeba mieÊ od razu wszystko, a najlepiej to sobie psa kupiÊ.";"29†sty†23:06";"Liczba g≥osÛw:2";"50%";"50%";"~bella:";"50%";"#mark"
"45";"~natura";"Jezeli natura to od 1szej miesiaczki do ostatniej.";"29†sty†23:00";"Liczba g≥osÛw:0";"0%";"0%";"~wmzt 1119:";NA;NA
"46";"~skrajna";"Dzisiaj jest tez tak, ze wyksztalceni wyjada i ukladaja sobie super zycie a ci niewyksztalceni, mlodzi, maja dzieci , ktore zostawiaja same i jada na saksy. Wyliczylam 2 skrajnosci ale jest cos po srodku. Mlodzi borykajacy sie z codziennoscia byleby wytrwac, splacic kredyt. Mysle, ze dzieci tych starszych rodzicow maja lepiej. Maja cierpliwosc i czas wysluchac.";"29†sty†22:58";"Liczba g≥osÛw:1";"100%";"0%";"~bella:";"100%";"#mark"
"47";"~basik :";"ciekawe czy wnukow doczekaja i sie nimi zdaza nacieszyc, ale tak to jest jak na pierwszym miejscu kariera, ale kazdy decyduje sam o tym kiedy zostac rodzicem ;) trzeba liczyc sie z tym, ze moze sil nie wystarczyc do wychowania dziecka, ale mysle, ze wielu z takich rodzicow dochodzi do tego wniosku juz za pozno :) ja jestem Mama 5 dzieci, pierwsze mialam wczesnie bo niespelna 18 lat mialam i nie zaluje :) teraz najstarsza corka ma 23 lata, najmlodsza 6 :D do tego mam troje wspanialych wnukow :4,3,2 latka maja ;)";"29†sty†22:52";"Liczba g≥osÛw:5";"0%";"100%";NA;"100%";"#mark"
"48";"~Krysia";"Statystycznie dzieci starszych rodzicow sa madrzejsze bo sa logiczniej wychowywane. Mlodzi maja duzo wiecej strsu i malo czasu dla dzieci. Mlodzi tez maja malo doswiadczenia i wiedzy. Jestem pielegniarka w klinice dzieciecej. Lepiej sie rozmawia o dziecku ze starszym rodzicem niz z mlodym. Dzieci starszych rodzicow sa spokjniejsze bo mniej stresu w domu.";"29†sty†22:51";"Liczba g≥osÛw:2";"100%";"0%";"~singielka_33:";"100%";"#mark"
"49";"~~Dana :";"urodzi≥am w wieku 45 lat , i mam gdzieú komentarze co niektÛrych ze poøno ze stara itd. CieszÍ siÍ macierzyÒstwem i nic nikomu do tego .";"29†sty†22:48";"Liczba g≥osÛw:14";"85%";"14%";NA;"85%";"#mark"
"50";"~mama";"èle zrozumia≥aú. Naleøy siÍ zastanowiÊ jakie by≥y powody takiej decyzji, niekiedy by≥a to walka o dalsze zycie. pozdrawiam";"29†sty†22:42";"Liczba g≥osÛw:1";"100%";"0%";"~mela:";"100%";"#mark"
"51";"~ewa :";"I tak trzymaÊ oni zostali zapewne rodzicami za pomocπ medycyny ktÛra w obecnych czasach jest posuniÍta daleko ,daleko do przodu ,tylko pogratulowaÊ mamπ macierzyÒstwa.";"29†sty†22:33";"Liczba g≥osÛw:6";"100%";"0%";NA;"100%";"#mark"
"52";"~mir :";"""Zbi≠gniew UrbaÒ≠ski po raz pierw≠szy ojcem zo≠sta≥ w wieku 40 lat. Wtedy na úwiat przy≠sz≥a jego 5-let≠nia cÛrka Mila"" - no proszÍ! cÛrka Zbigniewa urodzi≥a siÍ majπc juø 5 lat :)";"29†sty†22:24";"Liczba g≥osÛw:5";"100%";"0%";NA;"100%";"#mark"
"53";"~aaaaa :";"wyglπdajπ jak z wnukami";"29†sty†22:20";"Liczba g≥osÛw:6";"33%";"66%";NA;"66%";"#mark"
"54";"~bella";"Tak w≥aúnie myúlÍ!!! Jak siÍ nie ma przede wszystkim pracy i mieszkania , to owszem moøna mieÊ dzieci ,ale to jest trudne! Chociaø zawsze moøna iúÊ do opieki spo≥ecznej prawda? Ps. ja nie napisa≥am duøo pieniÍdzy ,a raczej o pieniπdzach na sp≥atÍ kredytÛw itd. itp.";"29†sty†22:19";"Liczba g≥osÛw:2";"50%";"50%";"~mela:";"50%";"#mark"
"55";"~lindzia :";"~Basia , mialam tak samo, dlatego nie chcialam w ten sam sposob skrzywdzic moich dzieci i mialam presje na bycie mloda mama. Druga sprawa, bardzo mnie bolalo jak dzieci w przedszkolu i szkole mowili na moich rodzicow dziadki i podsmiewali sie z nich. Teraz sa inne czasy. Mnostwo matek po 40tce, ale mimo wszystko warto pomyslec o dziecku a nie o swoim widzimisie.";"29†sty†22:16";"Liczba g≥osÛw:6";"16%";"83%";NA;"83%";"#mark"
"56";"~mela";"....wiÍc myúlisz øe taka kolejnoúÊ jest prawid≥owa?... wykszta≥ciÊ siÍ?znalezÊ dobrze p≥atnπ pracÍ i zarobiÊ duøo pieniÍdzy? kupiÊ mieszkanie a pÛzniej myúleÊ o dziecku? no mÛj drogi to ma≥o kto decydowa≥by siÍ na dzieci!";"29†sty†22:11";"Liczba g≥osÛw:2";"100%";"0%";"~bella:";"100%";"#mark"
"57";"~kika :";"No cÛø, ja mam 36 lat, jedno dziecko (13 lat), drugiego ukochanego, jakieú tam szanse na nowy zwiπzek (choÊ ciπgle tkwiÍ w starym), ale na dziecko juø siÍ nie zdecydujÍ. Jestem po pierwsze za stara, po drugie znalaz≥am wreszcie mi≥oúÊ swojego øycia i chcÍ siÍ NIM cieszyÊ, a nie zmieniaÊ pieluchy i wycieraÊ g*na za przeproszeniem.";"29†sty†22:09";"Liczba g≥osÛw:11";"27%";"72%";NA;"72%";"#mark"
"58";"~bella";"Ale Ty piszesz o czasach sprzed potopu! Kiedyú ludzie mieli taki tok myúlenia jak TwÛj. Dziú ludzie kszta≥cπ siÍ , potem ciÍøko pracujπ ,πby mÛc kupiÊ mieszkanie i sp≥aciÊ kredyt ! Taka zazwyczaj jest kolejnoúÊ t úwiadome i odpowiedzialne za≥oøenie rodziny. A jeøeli piszesz o rodzeniu dzieci przed czy na emeryturze ,to chyba siÍ zapÍdzi≥aú bo wiek emerytalny to dziú 67 lat. Oczywiúcie ironizujÍ :)";"29†sty†21:56";"Liczba g≥osÛw:3";"33%";"66%";"~Carmen:";"66%";"#mark"
"59";"~nara :";"Pisanie o kaliszu jest øa≥osne,,,,,,";"29†sty†21:55";"Liczba g≥osÛw:8";"100%";"0%";NA;"100%";"#mark"
"60";"~kASIA";"o w mordÍ co za TROOOOOOOOOOL";"29†sty†21:53";"Liczba g≥osÛw:1";"0%";"100%";"~kurczburcz:";"100%";"#mark"
"61";"~TEKLA";"Lauro. Po pierwsze NIE JESTESMY na Ty! KrÛw z Tobπ nie pas≥am! po drugie nawet za darmo nie chcia≥abym takiej cÛrki jak Pani.WymπdrzaÊ siÍ i ubliøaÊ Kazdy potrafi";"29†sty†21:52";"Liczba g≥osÛw:4";"25%";"75%";"~Laura fl:";"75%";"#mark"
"62";"~on55 :";"Rodzice mlodzi, prawie dzieci!,Wychowanie dzieckato nie tylko hodowla, zabawa i spacerki. Przydaje siÍ doswiadczenie, zdolnoúÊ do kontroli emocji, cieplo, wykszta≥cenie, obycie, status na, kultura. To pierwszy prezent dla dziecka, nie tylko si≥a i zdrowie., niepe≥nosprawni zresztπ teø majπ dzieci. I pamiÍtajcie o czyms takim, jak,""dlug pokoleniowy"", ktÛry trzeba splacic., to funkcjonuje nawet u malp. A Wy, rodzice piÍkni 20-letni, tez nie wiecie z jakπ chorobπ i kiedy - przyjdzie siÍ wam zmierzyÊ. Dzieciasπ potrzebne w kaødym wieku..";"29†sty†21:46";"Liczba g≥osÛw:11";"63%";"36%";NA;"63%";"#mark"
"63";"~mela";"chyba opowiadanie swojej bardzo smutnej historii kobiecie ktÛra pÛzno urodzi≥a dziecko jest nie na miejscu.... czy sugerujesz, øe jej dziecko spotka taki sam los? ja jestem rÛwnieø za tym aby kobiety rodzi≥y duøo wczeúniej ale to jest indywidualny wybÛr kaødej z nas..... a czasami øycie ustala swoje zasady i ono decyduje kiedy zostaniemy rodzicem";"29†sty†21:43";"Liczba g≥osÛw:1";"0%";"100%";"~kaja:";"100%";"#mark"
"64";"~Cappy";"Chyba raczej pÛüniej miesiπczkowaÊ??? Bo zazwyczaj jest odwrotnie do tego co piszesz!";"29†sty†21:38";"Liczba g≥osÛw:3";"66%";"33%";"~...:";"66%";"#mark"
"65";"~luzik :";"Fotka 8 matka po 40 a nie wie jak ubraÊ dzieci stosownie do pogody : jedna w kozakach, druga w japonkach. Pewnie niania mia≥a wolne hehehe";"29†sty†21:31";"Liczba g≥osÛw:2";"50%";"50%";NA;"50%";"#mark"
"66";"~kaja";"a pomyúla≥aú co bÍdzie jak dziecko doroúnie? Mama urodzi≥a mnie majπc 43 lat by≥am pierwszym i jedynym dzieckiem ponoÊ takim zaplanowanym, ojciec mia≥ 46 . jak mia≥am 10 lat zmar≥ ojciec mama jako 53 letnia kobieta nie nadπøa≥a i nie rozumia≥a problemÛw nastolatki. Koledzy i koleøanki mieli m≥odych rodzicÛw nadπøajπcych za ""duchem czasu'. Jak mia≥am 20 lat mama zmar≥a na raka zosta≥am sierotπ . Majπ 21 urodzi≥am cÛrkÍ by nie fundowaÊ jej koszmaru starych rodzicÛw i nie øa≥ujÍ. Obecnie jestem juø babciπ i dziÍkujÍ Bogu za to øe zostaliúmy rodzicami w rok po úlubie";"29†sty†21:31";"Liczba g≥osÛw:8";"87%";"12%";"~mama:";"87%";"#mark"
"67";"~nieudaczniku";"a wy wciπø we trzech obracacie jednπ?";"29†sty†21:26";"Liczba g≥osÛw:1";"100%";"0%";"~Baca:";"100%";"#mark"
"68";"~:)";"ciekawe jakπ zabawkÍ testowa≥";"29†sty†21:22";"Liczba g≥osÛw:0";"0%";"0%";"~xix:";NA;NA
"69";"~mela";"i nie jedno dziecko starszych rodzicÛw tego nie doúwiadczy...... piszesz øeby nie oceniaÊ a oceniasz sama.... chyba øe zle zrozumia≥am";"29†sty†21:21";"Liczba g≥osÛw:2";"100%";"0%";"~mama:";"100%";"#mark"
"70";"~zosta≥am mamπ jako 20 latka";"Zachwalam i to wszem i wobec urodzenie dziecka w wieku ok 20 lat. Dlaczego majπc 20 urodzi≥am pierwsze po 2 latach drugie. obecnie mam 50 lat mπø 54 jesteúmy 30 lat po úlubie i 3 lata temu rozpoczÍliúmy DRUG• M£ODOå \\;0 dzieci siÍ wyprowadzi≥y zostaliúmy sami niczym m≥ode ma≥øeÒstwo. Po narodzinach wnuka tak odm≥odnieliúmy øe dopiero teraz wiemy co znaczy øyÊ szczÍúliwie i spe≥niaÊ marzenia. Nie ma juø nacisku øe trzeba wychowaÊ dzieci øe nie podo≥amy. Jesteúmy spe≥nieni, szczÍúliwi i zakochani w sobie jak nigdy bo mamy czas tylko dla siebie. A patrzenie na wnuka jak roúnie i siÍ rozwija umacnia tylko poczucie spe≥nienia i tego øe by≥o warto";"29†sty†21:16";"Liczba g≥osÛw:5";"60%";"40%";"~a-net:";"60%";"#mark"
